species	genus	sub.family	InvasivenessStatus	Traded2017	NbSellers_2017	MeanPrice_2017	Traded2020	NbSellers_2020	MeanPrice_2020	MeanPrice_2017_log	MeanPrice_2020_log	
1	Ankylomyrma_coronacantha	Ankylomyrma	Myrmicinae	Native	0	0	NA	0	0	NA	NA	NA
2	Tatuidris_tatusia	Tatuidris	Agroecomyrmecinae	Native	0	0	NA	0	0	NA	NA	NA
3	Adetomyrma_aureocuprea	Adetomyrma	Amblyoponinae	Native	0	0	NA	0	0	NA	NA	NA
4	Adetomyrma_bressleri	Adetomyrma	Amblyoponinae	Native	0	0	NA	0	0	NA	NA	NA
5	Adetomyrma_caputleae	Adetomyrma	Amblyoponinae	Native	0	0	NA	0	0	NA	NA	NA
6	Adetomyrma_cassis	Adetomyrma	Amblyoponinae	Native	0	0	NA	0	0	NA	NA	NA
7	Adetomyrma_caudapinnigera	Adetomyrma	Amblyoponinae	Native	0	0	NA	0	0	NA	NA	NA
8	Adetomyrma_cilium	Adetomyrma	Amblyoponinae	Native	0	0	NA	0	0	NA	NA	NA
9	Adetomyrma_clarivida	Adetomyrma	Amblyoponinae	Native	0	0	NA	0	0	NA	NA	NA
10	Adetomyrma_goblin	Adetomyrma	Amblyoponinae	Native	0	0	NA	0	0	NA	NA	NA
11	Adetomyrma_venatrix	Adetomyrma	Amblyoponinae	Native	0	0	NA	0	0	NA	NA	NA
12	Amblyopone_aberrans	Amblyopone	Amblyoponinae	Native	0	0	NA	0	0	NA	NA	NA
13	Amblyopone_australis	Amblyopone	Amblyoponinae	Alien	1	4	145.37	1	6	234.6436789	4.986137662	5.462320829
14	Amblyopone_clarki	Amblyopone	Amblyoponinae	Native	0	0	NA	0	0	NA	NA	NA
15	Amblyopone_ferruginea	Amblyopone	Amblyoponinae	Native	0	0	NA	0	0	NA	NA	NA
16	Amblyopone_gingivalis	Amblyopone	Amblyoponinae	Native	0	0	NA	0	0	NA	NA	NA
17	Amblyopone_hackeri	Amblyopone	Amblyoponinae	Native	0	0	NA	0	0	NA	NA	NA
18	Amblyopone_leae	Amblyopone	Amblyoponinae	Native	0	0	NA	0	0	NA	NA	NA
19	Amblyopone_longidens	Amblyopone	Amblyoponinae	Native	0	0	NA	0	0	NA	NA	NA
20	Amblyopone_mercovichi	Amblyopone	Amblyoponinae	Native	0	0	NA	0	0	NA	NA	NA
21	Amblyopone_michaelseni	Amblyopone	Amblyoponinae	Native	0	0	NA	0	0	NA	NA	NA
22	Fulakora_agostii	Fulakora	Amblyoponinae	Native	0	0	NA	0	0	NA	NA	NA
23	Fulakora_armigera	Fulakora	Amblyoponinae	Native	0	0	NA	0	0	NA	NA	NA
24	Fulakora_bierigi	Fulakora	Amblyoponinae	Native	0	0	NA	0	0	NA	NA	NA
25	Fulakora_celata	Fulakora	Amblyoponinae	Native	0	0	NA	0	0	NA	NA	NA
26	Fulakora_chilensis	Fulakora	Amblyoponinae	Native	0	0	NA	0	0	NA	NA	NA
27	Fulakora_cleae	Fulakora	Amblyoponinae	Native	0	0	NA	0	0	NA	NA	NA
28	Fulakora_degenerata	Fulakora	Amblyoponinae	Native	0	0	NA	0	0	NA	NA	NA
29	Fulakora_egregia	Fulakora	Amblyoponinae	Native	0	0	NA	0	0	NA	NA	NA
30	Fulakora_elongata	Fulakora	Amblyoponinae	Native	0	0	NA	0	0	NA	NA	NA
31	Fulakora_exigua	Fulakora	Amblyoponinae	Native	0	0	NA	0	0	NA	NA	NA
32	Fulakora_falcata	Fulakora	Amblyoponinae	Native	0	0	NA	0	0	NA	NA	NA
33	Fulakora_gnoma	Fulakora	Amblyoponinae	Native	0	0	NA	0	0	NA	NA	NA
34	Fulakora_gracilis	Fulakora	Amblyoponinae	Native	0	0	NA	0	0	NA	NA	NA
35	Fulakora_heraldoi	Fulakora	Amblyoponinae	Native	0	0	NA	0	0	NA	NA	NA
36	Fulakora_lucida	Fulakora	Amblyoponinae	Native	0	0	NA	0	0	NA	NA	NA
37	Fulakora_lurilabes	Fulakora	Amblyoponinae	Native	0	0	NA	0	0	NA	NA	NA
38	Fulakora_minima	Fulakora	Amblyoponinae	Native	0	0	NA	0	0	NA	NA	NA
39	Fulakora_monrosi	Fulakora	Amblyoponinae	Native	0	0	NA	0	0	NA	NA	NA
40	Fulakora_mystriops	Fulakora	Amblyoponinae	Native	0	0	NA	0	0	NA	NA	NA
41	Fulakora_orizabana	Fulakora	Amblyoponinae	Native	0	0	NA	0	0	NA	NA	NA
42	Fulakora_papuana	Fulakora	Amblyoponinae	Native	0	0	NA	0	0	NA	NA	NA
43	Fulakora_punctulata	Fulakora	Amblyoponinae	Native	0	0	NA	0	0	NA	NA	NA
44	Fulakora_saundersi	Fulakora	Amblyoponinae	Native	0	0	NA	0	0	NA	NA	NA
45	Fulakora_smithi	Fulakora	Amblyoponinae	Native	0	0	NA	0	0	NA	NA	NA
46	Fulakora_wilsoni	Fulakora	Amblyoponinae	Native	0	0	NA	0	0	NA	NA	NA
47	Myopopone_castanea	Myopopone	Amblyoponinae	Native	0	0	NA	0	0	NA	NA	NA
