Species	byUser	byPost	meanLikes	medianLikes	maxLikes	meanComments	medianComments	maxComments	genus	sub.family	status
Messor_barbarus	593	2423	65.49	48	2724	2.25	1	149	Messor	Myrmicinae	native
Lasius_niger	418	1917	53.66	43	1923	1.78	0	42	Lasius	Formicinae	alien
Lasius_flavus	155	428	67.87	50	1923	2.42	1	80	Lasius	Formicinae	native
Camponotus_nicobarensis	148	801	70.6	55	374	1.64	0	24	Camponotus	Formicinae	native
Myrmica_rubra	127	497	60.15	43	1923	2.25	1	119	Myrmica	Myrmicinae	alien
Crematogaster_scutellaris	111	655	73.67	59	975	2.02	1	28	Crematogaster	Myrmicinae	alien
Pheidole_pallidula	108	285	62.3	50	366	1.92	0	24	Pheidole	Myrmicinae	alien
Messor_structor	105	464	45.14	36	975	2.03	1	28	Messor	Myrmicinae	alien
Camponotus_cruentatus	93	266	67.1	54	254	2.82	1	96	Camponotus	Formicinae	native
Camponotus_herculeanus	73	227	49.39	45	192	2.3	1	24	Camponotus	Formicinae	native
Formica_fusca	72	148	70.75	49.5	363	2.09	1	24	Formica	Formicinae	native
Camponotus_barbaricus	71	293	58.64	40	253	2.37	1	112	Camponotus	Formicinae	native
Harpegnathos_venator	69	213	86.26	63	443	2.33	1	47	Harpegnathos	Ponerinae	native
Tetramorium_caespitum	67	122	64.46	49	239	1.98	1	16	Tetramorium	Myrmicinae	native
Polyrhachis_dives	65	329	63.96	50	280	1.53	0	45	Polyrhachis	Formicinae	native
Camponotus_pennsylvanicus	60	280	48.6	44	210	1.78	1	20	Camponotus	Formicinae	alien
Oecophylla_smaragdina	59	146	131.96	102	468	2.88	2	20	Oecophylla	Formicinae	native
Solenopsis_invicta	59	198	51.62	42	346	2.41	1	28	Solenopsis	Myrmicinae	alien
Formica_rufa	57	93	63.52	55	203	3.23	2	25	Formica	Formicinae	native
Carebara_diversa	56	231	90.56	66	541	3.53	2	35	Carebara	Myrmicinae	native
Solenopsis_fugax	54	128	56.32	47.5	179	2.16	1	16	Solenopsis	Myrmicinae	native
Manica_rubida	50	140	76.02	58.5	631	1.41	1	14	Manica	Myrmicinae	native
Solenopsis_geminata	46	117	61.85	46	255	2.86	1	28	Solenopsis	Myrmicinae	alien
Camponotus_vagus	43	157	80.94	75	392	2.02	1	12	Camponotus	Formicinae	native
Camponotus_ligniperda	42	106	74.36	71	299	2.69	1	30	Camponotus	Formicinae	native
Lasius_emarginatus	42	81	75.14	61	458	2.57	1	27	Lasius	Formicinae	alien
Camponotus_turkestanus	41	109	81.73	65	236	1.8	1	15	Camponotus	Formicinae	native
Camponotus_turkestanicus	40	106	79.85	65	236	1.82	1	15	Camponotus	Formicinae	native
Formica_rufibarbis	35	80	56.73	54	211	2.16	1	12	Formica	Formicinae	alien
Messor_capitatus	31	68	54.34	45.5	221	1.25	0.5	9	Messor	Myrmicinae	native
Odontomachus_monticola	31	58	82.12	67	259	1.83	0	16	Odontomachus	Ponerinae	native
Rhytidoponera_metallica	31	98	81.19	74	240	3.26	2	19	Rhytidoponera	Ectatomminae	alien
Tetraponera_rufonigra	31	102	61.88	53.5	301	1.93	1	15	Tetraponera	Pseudomyrmecinae	alien
Acromyrmex_octospinosus	29	125	109.82	90	479	1.89	1	22	Acromyrmex	Myrmicinae	native
Diacamma_rugosum	29	128	68.62	60.5	273	1.49	1	11	Diacamma	Ponerinae	native
Tetramorium_bicarinatum	29	62	83.48	54	412	1.85	0	15	Tetramorium	Myrmicinae	alien
Atta_cephalotes	27	111	89.95	56	371	1.94	1	19	Atta	Myrmicinae	native
Camponotus_consobrinus	27	111	151.78	81	6401	2.95	2	14	Camponotus	Formicinae	native
Lasius_fuliginosus	27	41	72.46	72	149	3.1	2	14	Lasius	Formicinae	native
Lasius_umbratus	27	56	77.18	62.5	378	2.8	2	14	Lasius	Formicinae	native
Camponotus_albosparsus	26	46	41.43	32.5	198	1.39	0	9	Camponotus	Formicinae	native
Formica_sanguinea	26	46	65.15	47.5	220	2.33	1	18	Formica	Formicinae	native
Paraponera_clavata	25	31	145.48	94	1405	5.74	3	23	Paraponera	Paraponerinae	native
Formica_cinerea	24	40	95.88	49.5	399	1.58	0	16	Formica	Formicinae	native
Prenolepis_imparis	24	59	53.59	43	169	2.47	1	19	Prenolepis	Formicinae	native
Tetramorium_carinatum	24	56	84.48	51.5	412	1.77	0	8	Tetramorium	Myrmicinae	native
Camponotus_japonicus	23	57	52.86	42	152	1.33	0	9	Camponotus	Formicinae	native
Camponotus_lateralis	23	65	94.42	91	369	3.22	2	22	Camponotus	Formicinae	native
Dinomyrmex_gigas	23	28	113.64	62.5	1405	3.54	2	17	Dinomyrmex	Formicinae	native
Formica_cunicularia	23	42	69.38	72.5	160	2.48	1	16	Formica	Formicinae	native
Lasius_neoniger	23	43	54.33	42	156	2.19	1	13	Lasius	Formicinae	native
Myrmecia_pyriformis	23	47	121.47	88	565	4.83	4	45	Myrmecia	Myrmeciinae	native
Pogonomyrmex_barbatus	23	66	77.76	57	303	2.3	1	18	Pogonomyrmex	Myrmicinae	native
Tetramorium_immigrans	23	65	50.29	45	275	1.71	0	14	Tetramorium	Myrmicinae	alien
Anoplolepis_gracilipes	22	57	66.77	55	213	2.14	1	12	Anoplolepis	Formicinae	alien
Camponotus_novaeboracensis	22	66	52.26	41	152	2.39	1	15	Camponotus	Formicinae	native
Camponotus_singularis	22	50	95	77	299	2.18	1	12	Camponotus	Formicinae	native
Lasius_grandis	22	53	55.19	38	253	1.68	0	19	Lasius	Formicinae	alien
